"Plot Title: sargento"
"#","Date Time, GMT-07:00","Abs Pres, kPa","Temp, °C","Water Level, meters"
1,10/26/2017 13:00:00,105.612,24.448,-0.150
2,10/26/2017 13:15:00,105.513,24.351,-0.160
3,10/26/2017 13:30:00,105.433,24.351,-0.168
4,10/26/2017 13:45:00,105.385,24.351,-0.173
5,10/26/2017 14:00:00,105.321,24.351,-0.179
6,10/26/2017 14:15:00,105.273,24.351,-0.184
7,10/26/2017 14:30:00,105.225,24.351,-0.189
8,10/26/2017 14:45:00,105.177,24.351,-0.193
9,10/26/2017 15:00:00,105.145,24.351,-0.196
10,10/26/2017 15:15:00,105.113,24.351,-0.200
11,10/26/2017 15:30:00,105.097,24.351,-0.201
12,10/26/2017 15:45:00,105.065,24.351,-0.204
13,10/26/2017 16:00:00,105.033,24.351,-0.208
14,10/26/2017 16:15:00,105.017,24.351,-0.209
15,10/26/2017 16:30:00,104.985,24.351,-0.212
16,10/26/2017 16:45:00,104.953,24.351,-0.216
17,10/26/2017 17:00:00,104.969,24.351,-0.214
18,10/26/2017 17:15:00,104.969,24.351,-0.214
19,10/26/2017 17:30:00,104.937,24.351,-0.217
20,10/26/2017 17:45:00,104.937,24.351,-0.217
21,10/26/2017 18:00:00,104.953,24.351,-0.216
22,10/26/2017 18:15:00,104.969,24.351,-0.214
23,10/26/2017 18:30:00,104.969,24.351,-0.214
24,10/26/2017 18:45:00,104.953,24.351,-0.216
25,10/26/2017 19:00:00,104.937,24.351,-0.217
26,10/26/2017 19:15:00,104.921,24.351,-0.219
27,10/26/2017 19:30:00,104.889,24.351,-0.222
28,10/26/2017 19:45:00,104.889,24.351,-0.222
29,10/26/2017 20:00:00,104.889,24.351,-0.222
30,10/26/2017 20:15:00,104.889,24.351,-0.222
31,10/26/2017 20:30:00,104.889,24.351,-0.222
32,10/26/2017 20:45:00,104.886,24.255,-0.222
33,10/26/2017 21:00:00,104.886,24.255,-0.222
34,10/26/2017 21:15:00,104.870,24.255,-0.224
35,10/26/2017 21:30:00,104.902,24.255,-0.221
36,10/26/2017 21:45:00,104.918,24.255,-0.219
37,10/26/2017 22:00:00,104.902,24.255,-0.221
38,10/26/2017 22:15:00,104.918,24.255,-0.219
39,10/26/2017 22:30:00,104.902,24.255,-0.221
40,10/26/2017 22:45:00,104.870,24.255,-0.224
41,10/26/2017 23:00:00,104.854,24.255,-0.225
42,10/26/2017 23:15:00,104.838,24.255,-0.227
43,10/26/2017 23:30:00,104.854,24.255,-0.225
